yrkeskode;yrke;hk_prob;hk_antall;antall;rel_prob
3422;Trenere og idrettsdommere;0;0;374;0
3423;Sports- og aktivitetsinstruktører;0;0;237;0
3431;Fotografer og filmfotografer;0;0;96;0
3432;Interiørdesignere og dekoratører;0;0;182;0
3433;Tekniske konservatorer;0;0;37;0
3434;Sjefskokker;0;0;778;0
3439;Andre yrker innen estetiske fag;0;0;148;0
3511;Driftsteknikere, IKT;0.002128414331323164;6;2819;0.00507185122569738
3512;Brukerstøttere, IKT;0.005115089514066497;2;391;0.0016906170752324597
3513;Nettverks- og systemteknikere, IKT;0.05392156862745098;11;204;0.009298393913778529
3514;Internett-teknikere;0.02349869451697128;9;383;0.0076077768385460695
3521;Teknikere innen radio og tv;0;0;77;0
3522;Teknikere innen telekommunikasjon;0;0;107;0
4110;Kontormedarbeidere;0.002786485545106235;16;5742;0.013524936601859678
4131;Stenografer;0;0;1;0
4132;Dataregistrerere;0.01639344262295082;2;122;0.0016906170752324597
4211;Kundebehandlere, bank og postkontor;0;0;129;0
4212;Bingoverter, bookmakere mv.;0;0;99;0
4214;Inkassomedarbeidere mv.;0;0;177;0
4221;Reisebyråmedarbeidere mv.;0.007575757575757576;5;660;0.00422654268808115
4222;Kundesentermedarbeidere;0.0016611295681063123;2;1204;0.0016906170752324597
4223;Sentralbordoperatører;0;0;144;0
4224;Hotellresepsjonister;0;0;1993;0
4225;Informasjonsskrankemedarbeidere;0;0;41;0
4226;Resepsjonister (ekskl. hotell);0;0;886;0
4227;Intervjuere;0.031746031746031744;6;189;0.00507185122569738
4229;Andre opplysningsmedarbeidere;0;0;11;0
4311;Regnskapsmedarbeidere;0.007516228220020499;22;2927;0.018596787827557058
4312;Forsikrings- og finansmedarbeidere;0;0;13;0
4313;Lønningsmedarbeidere;9.861932938856016e-4;1;1014;8.453085376162299e-4
4321;Lagermedarbeidere og materialforvaltere;0;0;3228;0
4322;Logistikkmedarbeidere;0;0;1420;0
4323;Transportfunksjonærer;0;0;378;0
4411;Bibliotekassistenter;0;0;83;0
4412;Postbud og postsorterere;0;0;65;0
4413;Kodere mv;0;0;2;0
4415;Arkivassistenter;0;0;191;0
4416;Personalkontormedarbeidere;0;0;76;0
5111;Flyverter, båtverter mv.;0;0;39;0
5112;Konduktører;0;0;32;0
5113;Reiseledere og guider;0;0;443;0
5120;Kokker;1.840942562592047e-4;1;5432;8.453085376162299e-4
5131;Servitører;0;0;3680;0
5132;Bartendere;0;0;1033;0
5141;Frisører;0;0;1325;0
5142;Kosmetologer mv.;0.0019157088122605363;1;522;8.453085376162299e-4
5151;Renholdsledere i bedrifter;0;0;567;0
5152;Husholdere;0;0;38;0
5153;Vaktmestere;9.328358208955224e-4;2;2144;0.0016906170752324597
5163;Begravelsesbyrå- og krematoriemedarbeidere;0;0;49;0
5164;Dyrepassere og -trenere mv.;0;0;36;0
5165;Kjøreskolelærere;0;0;133;0
5169;Andre personlige tjenesteytere;0;0;284;0
5211;Torghandlere mv.;0.02;1;50;8.453085376162299e-4
5212;Gateselger av mat;0;0;1;0
5221;Innehavere av kiosk/liten butikk;0;0;12;0
5222;Butikkavdelingssjefer;0;0;316;0
5223;Butikkmedarbeidere;0.0034311119702314795;71;20693;0.060016906170752324
5230;Billettselgere;0;0;83;0
5241;Mannekenger og modeller;0;0;7;0
5242;Demonstrasjonsselgere;0;0;126;0
5243;Dørselgere;0.07763975155279502;25;322;0.021132713440405747
5244;Telefon- og nettselgere;0.01738334858188472;19;1093;0.016060862214708368
5245;Servicemedarbeidere (bensinstasjon);0;0;184;0
5246;Gatekjøkken- og kafémedarbeidere mv.;0;0;1382;0
5249;Andre salgsmedarbeidere;0;0;297;0
5311;Barnehage- og skolefritidsassistenter mv.;9.602458229306702e-5;1;10414;8.453085376162299e-4
5312;Skoleassistenter;0;0;1670;0
5321;Helsefagarbeidere;2.179598953792502e-4;3;13764;0.00253592561284869
5322;Hjemmehjelper;0.002055076037813399;5;2433;0.00422654268808115
5329;Andre pleiemedarbeidere;0;0;5498;0
5411;Brannkonstabler;0;0;580;0
5413;Fengselsbetjenter;0;0;235;0
5414;Vektere;0;0;1195;0
5419;Andre sikkerhetsarbeidere;0;0;413;0
6111;Korn- og grønnsaksprodusenter;0;0;27;0
6113;Gartnere;0;0;1119;0
6121;Melke- og husdyrprodusenter;0;0;382;0
6122;Egg- og fjærfeprodusenter;0;0;2;0
6123;Birøktere;0;0;1;0
6129;Andre dyreoppdrettere og -røktere;0;0;1;0
6130;Plante- og husdyrprodusenter (kombinasjonsbruk;0;0;36;0
6210;Skogbrukere;0;0;55;0
6221;Havbruksarbeidere;0;0;341;0
6222;Fiskere;0;0;25;0
6224;Fangstfolk;0;0;9;0
7112;Murere;0;0;470;0
7113;Steinhoggere;0;0;40;0
7114;Betongarbeidere;9.153318077803204e-4;2;2185;0.0016906170752324597
7115;Tømrere og snekkere;0.0010808863267879661;6;5551;0.00507185122569738
7119;Andre bygningsarbeidere;0;0;633;0
7121;Taktekkere;0;0;513;0
7122;Gulv- og flisleggere;0;0;639;0
7123;Gips- og sparklingsarbeidere;0;0;10;0
7124;Isolatører mv.;0;0;153;0
7125;Glassarbeidere;0;0;284;0
7126;Rørleggere og VVS-montører;0;0;2791;0
7127;Kuldemontører mv.;0;0;760;0
7131;Malere og byggtapetserere;0;0;959;0
7132;Overflatebehandlere og lakkerere;0;0;669;0
7133;Feiere, fasaderenholdere mv.;0;0;183;0
7211;Støpere;0;0;28;0
7212;Sveisere;0;0;1019;0
7213;Kopper- og blikkenslagere;0;0;1257;0
7214;Platearbeidere;0;0;539;0
7215;Riggere og spleisere;0;0;116;0
7221;Smeder;0;0;47;0
7222;Verktøymakere, låsesmeder mv.;0;0;769;0
7223;Metalldreiere mv.;0;0;200;0
7224;Metallslipere;0;0;3;0
